TEAM_ABBREVIATION,0,1,2,3,4,5,6,7,8
ATL,0.15384615384615385,0.15384615384615385,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.0
BKN,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.0
BOS,0.0,0.1111111111111111,0.0,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.0,0.0
CHA,0.4166666666666667,0.0,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0
CHI,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.0,0.18181818181818182,0.0,0.18181818181818182,0.09090909090909091
CLE,0.09090909090909091,0.0,0.18181818181818182,0.0,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.09090909090909091
DAL,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.08333333333333333
DEN,0.25,0.125,0.0,0.0,0.125,0.25,0.0,0.125,0.125
DET,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.25,0.0
GSW,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.0
HOU,0.0,0.375,0.125,0.0,0.25,0.125,0.0,0.0,0.125
IND,0.1,0.1,0.3,0.1,0.1,0.1,0.0,0.2,0.0
LAC,0.0,0.0,0.2,0.1,0.3,0.2,0.1,0.1,0.0
LAL,0.0,0.0,0.2727272727272727,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.0,0.0
MEM,0.1,0.2,0.2,0.2,0.1,0.0,0.0,0.2,0.0
MIA,0.08333333333333333,0.0,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.25,0.0,0.25,0.08333333333333333
MIL,0.0,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0,0.0,0.2222222222222222,0.1111111111111111
MIN,0.0,0.375,0.125,0.0,0.125,0.125,0.125,0.125,0.0
NOP,0.21428571428571427,0.0,0.14285714285714285,0.21428571428571427,0.14285714285714285,0.0,0.07142857142857142,0.14285714285714285,0.07142857142857142
NYK,0.0,0.2,0.4,0.1,0.1,0.0,0.0,0.1,0.1
OKC,0.0,0.08333333333333333,0.08333333333333333,0.0,0.16666666666666666,0.5833333333333334,0.0,0.0,0.08333333333333333
ORL,0.2,0.1,0.0,0.2,0.4,0.0,0.0,0.1,0.0
PHI,0.15384615384615385,0.07692307692307693,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.0,0.07692307692307693,0.07692307692307693,0.0
PHX,0.16666666666666666,0.0,0.25,0.0,0.16666666666666666,0.08333333333333333,0.25,0.08333333333333333,0.0
POR,0.1,0.2,0.1,0.1,0.0,0.0,0.0,0.4,0.1
SAC,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.0,0.2222222222222222,0.1111111111111111
SAS,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.3333333333333333,0.1111111111111111
TOR,0.25,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.0,0.0,0.16666666666666666,0.08333333333333333
UTA,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0,0.2857142857142857,0.07142857142857142
WAS,0.3,0.0,0.1,0.1,0.1,0.0,0.1,0.3,0.0
