team,archetype,player_count,vs_league_avg
MIA,Dominant Bigs,1,-0.035
MIL,Developmental Wings,0,0.13
MIL,Two-Way Forwards,1,-0.009
MIL,Backup Facilitators,3,-0.179
MIL,Hustle Bigs,1,-0.011
MIL,Primary Ball Handlers,1,0.023
MIL,3-and-D Wings,0,0.116
MIL,Rim Runners,0,0.053
MIL,Secondary Scorers,2,-0.06
MIL,Dominant Bigs,1,-0.063
MIN,Developmental Wings,0,0.13
MIN,Two-Way Forwards,3,-0.273
MIN,Backup Facilitators,1,0.029
MIN,Hustle Bigs,0,0.101
MIN,Primary Ball Handlers,1,0.009
MIN,3-and-D Wings,1,-0.009
MIN,Rim Runners,1,-0.072
MIN,Secondary Scorers,1,0.037
MIN,Dominant Bigs,0,0.048
NOP,Developmental Wings,3,-0.084
NOP,Two-Way Forwards,0,0.102
NOP,Backup Facilitators,2,0.011
NOP,Hustle Bigs,3,-0.114
NOP,Primary Ball Handlers,2,-0.009
NOP,3-and-D Wings,0,0.116
NOP,Rim Runners,1,-0.018
NOP,Secondary Scorers,2,0.019
NOP,Dominant Bigs,1,-0.023
NYK,Developmental Wings,0,0.13
NYK,Two-Way Forwards,2,-0.098
NYK,Backup Facilitators,4,-0.246
NYK,Hustle Bigs,1,0.001
NYK,Primary Ball Handlers,1,0.034
NYK,3-and-D Wings,0,0.116
NYK,Rim Runners,0,0.053
NYK,Secondary Scorers,1,0.062
NYK,Dominant Bigs,1,-0.052
OKC,Developmental Wings,0,0.13
OKC,Two-Way Forwards,1,0.019
OKC,Backup Facilitators,1,0.071
OKC,Hustle Bigs,0,0.101
OKC,Primary Ball Handlers,2,-0.033
OKC,3-and-D Wings,7,-0.468
OKC,Rim Runners,0,0.053
OKC,Secondary Scorers,0,0.162
OKC,Dominant Bigs,1,-0.035
ORL,Developmental Wings,2,-0.07
ORL,Two-Way Forwards,1,0.002
ORL,Backup Facilitators,0,0.154
ORL,Hustle Bigs,2,-0.099
ORL,Primary Ball Handlers,4,-0.266
ORL,3-and-D Wings,0,0.116
ORL,Rim Runners,0,0.053
ORL,Secondary Scorers,1,0.062
ORL,Dominant Bigs,0,0.048
PHI,Developmental Wings,2,-0.024
PHI,Two-Way Forwards,1,0.025
PHI,Backup Facilitators,4,-0.154
